
./streamcluster 50 100 250 10000 1 10000 myin myout 2

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 time   seconds   seconds    calls   s/call   s/call  name    
 72.86     15.51    15.51     2411     0.01     0.01  pgain(long, Points*, double, long*, int, parsec_barrier_t*)
 24.63     20.75     5.24   220497     0.00     0.00  parsec_barrier_wait(parsec_barrier_t*)
  2.02     21.18     0.43       11     0.04     0.04  pspeedy(Points*, float, long*, int, parsec_barrier_t*)
  0.21     21.22     0.05    99948     0.00     0.00  pkmedian(Points*, long, long, long*, int, parsec_barrier_t*)
  0.09     21.24     0.02    50001     0.00     0.00  contcenters(Points*)
  0.05     21.25     0.01    50001     0.00     0.00  localSearch(Points*, long, long, long*)
  0.05     21.26     0.01    50000     0.00     0.00  copycenters(Points*, Points*, long*, long)
  0.05     21.27     0.01    50000     0.00     0.00  SimStream::read(float*, int, int)
  0.05     21.28     0.01        8     0.00     2.00  pFL(Points*, int*, int, float, long*, double, long, float, int, parsec_barrier_t*)
  0.02     21.29     0.01                             localSearchSub(void*)
  0.00     21.29     0.00    50001     0.00     0.00  parsec_barrier_init(parsec_barrier_t*, int const*, unsigned int)
  0.00     21.29     0.00    50001     0.00     0.00  parsec_barrier_destroy(parsec_barrier_t*)
  0.00     21.29     0.00    50000     0.00     0.00  SimStream::feof()
  0.00     21.29     0.00    50000     0.00     0.00  SimStream::ferror()
  0.00     21.29     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z11isIdenticalPfS_i
  0.00     21.29     0.00        1     0.00     0.00  outcenterIDs(Points*, long*, char*)
  0.00     21.29     0.00        1     0.00     0.00  selectfeasible_fast(Points*, int**, int, int, parsec_barrier_t*)

./streamcluster 15 25 50 300000 6 300000 myin myout 4

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 66.36     34.53    34.53     6784     0.01     0.01  pgain(long, Points*, double, long*, int, parsec_barrier_t*)
 32.28     51.33    16.80   465193     0.00     0.00  parsec_barrier_wait(parsec_barrier_t*)
  1.11     51.91     0.58       20     0.03     0.03  pspeedy(Points*, float, long*, int, parsec_barrier_t*)
  0.12     51.97     0.06    50001     0.00     0.00  contcenters(Points*)
  0.06     52.00     0.03   199936     0.00     0.00  pkmedian(Points*, long, long, long*, int, parsec_barrier_t*)
  0.06     52.03     0.03    50001     0.00     0.00  localSearch(Points*, long, long, long*)
  0.04     52.05     0.02    50000     0.00     0.00  copycenters(Points*, Points*, long*, long)
  0.02     52.06     0.01                             streamCluster(PStream*, long, long, int, long, long, char*)
  0.00     52.06     0.00    50001     0.00     0.00  parsec_barrier_init(parsec_barrier_t*, int const*, unsigned int)
  0.00     52.06     0.00    50001     0.00     0.00  parsec_barrier_destroy(parsec_barrier_t*)
  0.00     52.06     0.00    50000     0.00     0.00  SimStream::feof()
  0.00     52.06     0.00    50000     0.00     0.00  SimStream::read(float*, int, int)
  0.00     52.06     0.00    50000     0.00     0.00  SimStream::ferror()
  0.00     52.06     0.00       24     0.00     1.54  pFL(Points*, int*, int, float, long*, double, long, float, int, parsec_barrier_t*)
  0.00     52.06     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z11isIdenticalPfS_i
  0.00     52.06     0.00        1     0.00     0.00  outcenterIDs(Points*, long*, char*)
  0.00     52.06     0.00        1     0.00     0.00  selectfeasible_fast(Points*, int**, int, int, parsec_barrier_t*)


